Level,Date and Time,Source,Event ID,Task Category
Information,11/14/2021 6:22:55 AM,Microsoft-Windows-TerminalServices-LocalSessionManager,22,None,"Remote Desktop Services: Shell start notification received:

User: WIN-V43N4HLGRLN\Administrator
Session ID: 1
Source Network Address: LOCAL"
Information,11/14/2021 6:22:50 AM,Microsoft-Windows-TerminalServices-LocalSessionManager,21,None,"Remote Desktop Services: Session logon succeeded:

User: WIN-V43N4HLGRLN\Administrator
Session ID: 1
Source Network Address: LOCAL"
Information,11/14/2021 6:22:46 AM,Microsoft-Windows-TerminalServices-LocalSessionManager,42,None,"End session arbitration:

User: WIN-V43N4HLGRLN\Administrator
Session ID: 1"
Information,11/14/2021 6:22:46 AM,Microsoft-Windows-TerminalServices-LocalSessionManager,41,None,"Begin session arbitration:

User: WIN-V43N4HLGRLN\Administrator
Session ID: 1"
Information,11/14/2021 6:22:04 AM,Microsoft-Windows-TerminalServices-RemoteConnectionManager,263,None,WDDM graphics mode is enabled
Information,11/14/2021 6:21:57 AM,Microsoft-Windows-TerminalServices-RemoteConnectionManager,1136,None,RD Session Host Server role is not installed.
Information,11/14/2021 6:21:55 AM,Microsoft-Windows-TerminalServices-RemoteConnectionManager,263,None,WDDM graphics mode is enabled
Information,11/14/2021 6:21:55 AM,Microsoft-Windows-TerminalServices-RemoteConnectionManager,263,None,WDDM graphics mode is enabled
Information,11/14/2021 6:21:55 AM,Microsoft-Windows-TerminalServices-RemoteConnectionManager,263,None,WDDM graphics mode is enabled
Information,11/14/2021 6:21:55 AM,Microsoft-Windows-TerminalServices-RemoteConnectionManager,263,None,WDDM graphics mode is enabled
Information,11/14/2021 6:21:55 AM,Microsoft-Windows-TerminalServices-RemoteConnectionManager,258,None,Listener RDP-Tcp has started listening
Information,11/14/2021 6:21:50 AM,Microsoft-Windows-TerminalServices-RemoteConnectionManager,20523,None,Connection from listener RDP-Tcp will have terminal class of {5828227c-20cf-4408-b73f-73ab70b8849f}
Information,11/14/2021 6:21:49 AM,Microsoft-Windows-TerminalServices-RemoteConnectionManager,263,None,WDDM graphics mode is enabled
Information,11/14/2021 6:21:47 AM,Microsoft-Windows-TerminalServices-LocalSessionManager,32,None,Plugin RDSAppXPlugin has been successfully initialized
Error,11/14/2021 6:20:55 AM,Microsoft-Windows-TerminalServices-LocalSessionManager,17,None,Remote Desktop Service start failed. The relevant status code was 0x8007045B.
Information,11/14/2021 6:20:48 AM,Microsoft-Windows-TerminalServices-LocalSessionManager,54,None,Local multi-user session manager received system shutdown message
Information,11/14/2021 6:20:47 AM,Microsoft-Windows-TerminalServices-LocalSessionManager,23,None,"Remote Desktop Services: Session logoff succeeded:

User: WIN-V43N4HLGRLN\Administrator
Session ID: 1"
Information,11/14/2021 5:58:17 AM,Microsoft-Windows-TerminalServices-LocalSessionManager,22,None,"Remote Desktop Services: Shell start notification received:

User: WIN-V43N4HLGRLN\Administrator
Session ID: 1
Source Network Address: LOCAL"
Information,11/14/2021 5:58:11 AM,Microsoft-Windows-TerminalServices-LocalSessionManager,21,None,"Remote Desktop Services: Session logon succeeded:

User: WIN-V43N4HLGRLN\Administrator
Session ID: 1
Source Network Address: LOCAL"
Information,11/14/2021 5:58:09 AM,Microsoft-Windows-TerminalServices-LocalSessionManager,42,None,"End session arbitration:

User: WIN-V43N4HLGRLN\Administrator
Session ID: 1"
Information,11/14/2021 5:58:09 AM,Microsoft-Windows-TerminalServices-LocalSessionManager,41,None,"Begin session arbitration:

User: WIN-V43N4HLGRLN\Administrator
Session ID: 1"
Information,11/14/2021 5:56:49 AM,Microsoft-Windows-TerminalServices-RemoteConnectionManager,263,None,WDDM graphics mode is enabled
Information,11/14/2021 5:56:46 AM,Microsoft-Windows-TerminalServices-RemoteConnectionManager,1136,None,RD Session Host Server role is not installed.
Information,11/14/2021 5:56:34 AM,Microsoft-Windows-TerminalServices-RemoteConnectionManager,263,None,WDDM graphics mode is enabled
Information,11/14/2021 5:56:34 AM,Microsoft-Windows-TerminalServices-RemoteConnectionManager,263,None,WDDM graphics mode is enabled
Information,11/14/2021 5:56:34 AM,Microsoft-Windows-TerminalServices-RemoteConnectionManager,263,None,WDDM graphics mode is enabled
Information,11/14/2021 5:56:34 AM,Microsoft-Windows-TerminalServices-RemoteConnectionManager,263,None,WDDM graphics mode is enabled
Information,11/14/2021 5:56:33 AM,Microsoft-Windows-TerminalServices-RemoteConnectionManager,258,None,Listener RDP-Tcp has started listening
Information,11/14/2021 5:56:29 AM,Microsoft-Windows-TerminalServices-RemoteConnectionManager,20523,None,Connection from listener RDP-Tcp will have terminal class of {5828227c-20cf-4408-b73f-73ab70b8849f}
Information,11/14/2021 5:56:27 AM,Microsoft-Windows-TerminalServices-RemoteConnectionManager,263,None,WDDM graphics mode is enabled
Information,11/14/2021 5:56:25 AM,Microsoft-Windows-TerminalServices-LocalSessionManager,32,None,Plugin RDSAppXPlugin has been successfully initialized
Error,11/14/2021 5:55:39 AM,Microsoft-Windows-TerminalServices-LocalSessionManager,17,None,Remote Desktop Service start failed. The relevant status code was 0x8007045B.
Information,11/14/2021 5:55:31 AM,Microsoft-Windows-TerminalServices-LocalSessionManager,54,None,Local multi-user session manager received system shutdown message
Information,11/14/2021 5:55:31 AM,Microsoft-Windows-TerminalServices-LocalSessionManager,23,None,"Remote Desktop Services: Session logoff succeeded:

User: WIN-V43N4HLGRLN\Administrator
Session ID: 1"
Information,11/14/2021 5:46:43 AM,Microsoft-Windows-TerminalServices-LocalSessionManager,22,None,"Remote Desktop Services: Shell start notification received:

User: WIN-V43N4HLGRLN\Administrator
Session ID: 1
Source Network Address: LOCAL"
Information,11/14/2021 5:46:38 AM,Microsoft-Windows-TerminalServices-LocalSessionManager,21,None,"Remote Desktop Services: Session logon succeeded:

User: WIN-V43N4HLGRLN\Administrator
Session ID: 1
Source Network Address: LOCAL"
