Level,Date and Time,Source,Event ID,Task Category
Information,11/14/2021 6:22:16 AM,OpenSSH,4,None,sshd: Server listening on 0.0.0.0 port 22.
Information,11/14/2021 6:22:16 AM,OpenSSH,4,None,sshd: Server listening on :: port 22.
Information,11/14/2021 6:20:49 AM,OpenSSH,4,None,sshd: Received signal 8; terminating.
Information,11/14/2021 5:56:53 AM,OpenSSH,4,None,sshd: Server listening on 0.0.0.0 port 22.
Information,11/14/2021 5:56:53 AM,OpenSSH,4,None,sshd: Server listening on :: port 22.
Information,11/14/2021 5:55:32 AM,OpenSSH,4,None,sshd: Received signal 8; terminating.
Information,11/14/2021 5:45:58 AM,OpenSSH,4,None,sshd: Server listening on 0.0.0.0 port 22.
Information,11/14/2021 5:45:58 AM,OpenSSH,4,None,sshd: Server listening on :: port 22.
Information,11/14/2021 5:44:35 AM,OpenSSH,4,None,sshd: Received signal 8; terminating.
Information,11/14/2021 5:27:36 AM,OpenSSH,4,None,sshd: Server listening on 0.0.0.0 port 22.
Information,11/14/2021 5:27:36 AM,OpenSSH,4,None,sshd: Server listening on :: port 22.
Information,11/14/2021 5:26:08 AM,OpenSSH,4,None,sshd: Received signal 8; terminating.
Information,11/14/2021 5:13:43 AM,OpenSSH,4,None,sshd: Server listening on 0.0.0.0 port 22.
Information,11/14/2021 5:13:43 AM,OpenSSH,4,None,sshd: Server listening on :: port 22.
Information,11/14/2021 5:12:14 AM,OpenSSH,4,None,sshd: Received signal 8; terminating.
Information,11/14/2021 1:53:52 PM,OpenSSH,4,None,sshd: Server listening on 0.0.0.0 port 22.
Information,11/14/2021 1:53:52 PM,OpenSSH,4,None,sshd: Server listening on :: port 22.
Information,11/13/2021 6:27:09 PM,OpenSSH,4,None,sshd: Starting session: subsystem 'sftp' for administrator from 192.168.137.1 port 54078 id 0
Information,11/13/2021 6:27:09 PM,OpenSSH,4,None,sshd: User child is on pid 2480
Information,11/13/2021 6:27:09 PM,OpenSSH,4,None,sshd: Accepted publickey for administrator from 192.168.137.1 port 54078 ssh2: RSA SHA256:Ukq+1ip/EPQ0iS3Azyjey36CGqhKmXHjQ+7AoRzttz4
Information,11/13/2021 6:27:09 PM,OpenSSH,4,None,sshd: Accepted key RSA SHA256:Ukq+1ip/EPQ0iS3Azyjey36CGqhKmXHjQ+7AoRzttz4 found at C:\\Users\\Administrator\\.ssh/authorized_keys:1
Information,11/13/2021 6:27:09 PM,OpenSSH,4,None,sshd: Postponed publickey for administrator from 192.168.137.1 port 54078 ssh2 [preauth]
Information,11/13/2021 6:27:09 PM,OpenSSH,4,None,sshd: Accepted key RSA SHA256:Ukq+1ip/EPQ0iS3Azyjey36CGqhKmXHjQ+7AoRzttz4 found at C:\\Users\\Administrator\\.ssh/authorized_keys:1
Information,11/13/2021 6:27:09 PM,OpenSSH,4,None,sshd: Connection from 192.168.137.1 port 54078 on 192.168.137.223 port 22
Information,11/13/2021 6:24:48 PM,OpenSSH,4,None,sshd: Disconnected from 192.168.137.1 port 54030
Information,11/13/2021 6:24:48 PM,OpenSSH,4,None,sshd: Received disconnect from 192.168.137.1 port 54030:11: disconnected by user
Information,11/13/2021 6:24:48 PM,OpenSSH,4,None,sshd: Close session: user administrator from 192.168.137.1 port 54030 id 0
Information,11/13/2021 6:20:29 PM,OpenSSH,4,None,sshd: Starting session: shell on windows-pty for administrator from 192.168.137.1 port 54030 id 0
Information,11/13/2021 6:20:29 PM,OpenSSH,4,None,sshd: User child is on pid 1960
Information,11/13/2021 6:20:29 PM,OpenSSH,4,None,sshd: Accepted publickey for administrator from 192.168.137.1 port 54030 ssh2: RSA SHA256:Ukq+1ip/EPQ0iS3Azyjey36CGqhKmXHjQ+7AoRzttz4
Information,11/13/2021 6:20:29 PM,OpenSSH,4,None,sshd: Accepted key RSA SHA256:Ukq+1ip/EPQ0iS3Azyjey36CGqhKmXHjQ+7AoRzttz4 found at C:\\Users\\Administrator\\.ssh/authorized_keys:1
Information,11/13/2021 6:20:29 PM,OpenSSH,4,None,sshd: Postponed publickey for administrator from 192.168.137.1 port 54030 ssh2 [preauth]
Information,11/13/2021 6:20:29 PM,OpenSSH,4,None,sshd: Accepted key RSA SHA256:Ukq+1ip/EPQ0iS3Azyjey36CGqhKmXHjQ+7AoRzttz4 found at C:\\Users\\Administrator\\.ssh/authorized_keys:1
Information,11/13/2021 6:20:29 PM,OpenSSH,4,None,sshd: Connection from 192.168.137.1 port 54030 on 192.168.137.223 port 22
Information,11/13/2021 6:20:24 PM,OpenSSH,4,None,sshd: Disconnected from 192.168.137.1 port 54029
Information,11/13/2021 6:20:24 PM,OpenSSH,4,None,sshd: Received disconnect from 192.168.137.1 port 54029:11: disconnected by user
Information,11/13/2021 6:20:24 PM,OpenSSH,4,None,sshd: Close session: user administrator from 192.168.137.1 port 54029 id 0
Information,11/13/2021 6:20:22 PM,OpenSSH,4,None,sshd: Starting session: shell on windows-pty for administrator from 192.168.137.1 port 54029 id 0
Information,11/13/2021 6:20:22 PM,OpenSSH,4,None,sshd: User child is on pid 3432
Information,11/13/2021 6:20:22 PM,OpenSSH,4,None,sshd: Accepted publickey for administrator from 192.168.137.1 port 54029 ssh2: RSA SHA256:Ukq+1ip/EPQ0iS3Azyjey36CGqhKmXHjQ+7AoRzttz4
Information,11/13/2021 6:20:22 PM,OpenSSH,4,None,sshd: Accepted key RSA SHA256:Ukq+1ip/EPQ0iS3Azyjey36CGqhKmXHjQ+7AoRzttz4 found at C:\\Users\\Administrator\\.ssh/authorized_keys:1
Information,11/13/2021 6:20:22 PM,OpenSSH,4,None,sshd: Postponed publickey for administrator from 192.168.137.1 port 54029 ssh2 [preauth]
Information,11/13/2021 6:20:22 PM,OpenSSH,4,None,sshd: Accepted key RSA SHA256:Ukq+1ip/EPQ0iS3Azyjey36CGqhKmXHjQ+7AoRzttz4 found at C:\\Users\\Administrator\\.ssh/authorized_keys:1
Information,11/13/2021 6:20:22 PM,OpenSSH,4,None,sshd: Connection from 192.168.137.1 port 54029 on 192.168.137.223 port 22
Information,11/13/2021 6:20:20 PM,OpenSSH,4,None,sshd: Server listening on 0.0.0.0 port 22.
Information,11/13/2021 6:20:20 PM,OpenSSH,4,None,sshd: Server listening on :: port 22.
Information,11/13/2021 6:19:40 PM,OpenSSH,4,None,sshd: Disconnected from 192.168.137.1 port 54026
Information,11/13/2021 6:19:40 PM,OpenSSH,4,None,sshd: Received disconnect from 192.168.137.1 port 54026:11: disconnected by user
Information,11/13/2021 6:19:40 PM,OpenSSH,4,None,sshd: Close session: user administrator from 192.168.137.1 port 54026 id 0
Information,11/13/2021 6:19:38 PM,OpenSSH,4,None,sshd: Starting session: shell on windows-pty for administrator from 192.168.137.1 port 54026 id 0
Information,11/13/2021 6:19:38 PM,OpenSSH,4,None,sshd: User child is on pid 1504
Information,11/13/2021 6:19:38 PM,OpenSSH,4,None,sshd: Accepted password for administrator from 192.168.137.1 port 54026 ssh2
Information,11/13/2021 6:19:36 PM,OpenSSH,4,None,sshd: Failed publickey for administrator from 192.168.137.1 port 54026 ssh2: RSA SHA256:29pSkhNrfgLWfpKr6g65TepeEhWriSTMyRIcy++J2Ms
Information,11/13/2021 6:19:36 PM,OpenSSH,4,None,sshd: Failed publickey for administrator from 192.168.137.1 port 54026 ssh2: RSA SHA256:/IhC2lfLcz7mXTcwz9qSIWOR7+DwqT2S160j9URFvaA
Information,11/13/2021 6:19:36 PM,OpenSSH,4,None,sshd: Failed publickey for administrator from 192.168.137.1 port 54026 ssh2: RSA SHA256:Ukq+1ip/EPQ0iS3Azyjey36CGqhKmXHjQ+7AoRzttz4
Information,11/13/2021 6:19:36 PM,OpenSSH,4,None,sshd: Connection from 192.168.137.1 port 54026 on 192.168.137.223 port 22
Information,11/13/2021 6:19:33 PM,OpenSSH,4,None,sshd: Server listening on 0.0.0.0 port 22.
Information,11/13/2021 6:19:33 PM,OpenSSH,4,None,sshd: Server listening on :: port 22.
Information,11/13/2021 6:18:18 PM,OpenSSH,4,None,sshd: Disconnected from 192.168.137.1 port 54016
Information,11/13/2021 6:18:18 PM,OpenSSH,4,None,sshd: Received disconnect from 192.168.137.1 port 54016:11: disconnected by user
Information,11/13/2021 6:18:18 PM,OpenSSH,4,None,sshd: Close session: user administrator from 192.168.137.1 port 54016 id 0
Information,11/13/2021 6:18:17 PM,OpenSSH,4,None,sshd: Starting session: shell on windows-pty for administrator from 192.168.137.1 port 54016 id 0
Information,11/13/2021 6:18:17 PM,OpenSSH,4,None,sshd: User child is on pid 2948
Information,11/13/2021 6:18:17 PM,OpenSSH,4,None,sshd: Accepted password for administrator from 192.168.137.1 port 54016 ssh2
Information,11/13/2021 6:18:14 PM,OpenSSH,4,None,sshd: Failed password for administrator from 192.168.137.1 port 54016 ssh2
Information,11/13/2021 6:18:12 PM,OpenSSH,4,None,sshd: Failed publickey for administrator from 192.168.137.1 port 54016 ssh2: RSA SHA256:29pSkhNrfgLWfpKr6g65TepeEhWriSTMyRIcy++J2Ms
Information,11/13/2021 6:18:12 PM,OpenSSH,4,None,sshd: Failed publickey for administrator from 192.168.137.1 port 54016 ssh2: RSA SHA256:/IhC2lfLcz7mXTcwz9qSIWOR7+DwqT2S160j9URFvaA
Information,11/13/2021 6:18:12 PM,OpenSSH,4,None,sshd: Failed publickey for administrator from 192.168.137.1 port 54016 ssh2: RSA SHA256:Ukq+1ip/EPQ0iS3Azyjey36CGqhKmXHjQ+7AoRzttz4
Information,11/13/2021 6:18:12 PM,OpenSSH,4,None,sshd: Connection from 192.168.137.1 port 54016 on 192.168.137.223 port 22
Information,11/13/2021 6:18:07 PM,OpenSSH,4,None,sshd: Disconnecting authenticating user administrator 192.168.137.1 port 54015: Too many authentication failures [preauth]
Information,11/13/2021 6:18:07 PM,OpenSSH,4,None,sshd: Failed password for administrator from 192.168.137.1 port 54015 ssh2
Information,11/13/2021 6:18:05 PM,OpenSSH,4,None,sshd: Failed password for administrator from 192.168.137.1 port 54015 ssh2
Information,11/13/2021 6:18:03 PM,OpenSSH,4,None,sshd: Failed publickey for administrator from 192.168.137.1 port 54015 ssh2: RSA SHA256:29pSkhNrfgLWfpKr6g65TepeEhWriSTMyRIcy++J2Ms
Information,11/13/2021 6:18:03 PM,OpenSSH,4,None,sshd: Failed publickey for administrator from 192.168.137.1 port 54015 ssh2: RSA SHA256:/IhC2lfLcz7mXTcwz9qSIWOR7+DwqT2S160j9URFvaA
Information,11/13/2021 6:18:03 PM,OpenSSH,4,None,sshd: Failed publickey for administrator from 192.168.137.1 port 54015 ssh2: RSA SHA256:Ukq+1ip/EPQ0iS3Azyjey36CGqhKmXHjQ+7AoRzttz4
Information,11/13/2021 6:18:03 PM,OpenSSH,4,None,sshd: Connection from 192.168.137.1 port 54015 on 192.168.137.223 port 22
Information,11/13/2021 6:17:56 PM,OpenSSH,4,None,sshd: Read error from remote host 192.168.137.1 port 54014: Unknown error
Information,11/13/2021 6:17:56 PM,OpenSSH,4,None,sshd: Close session: user administrator from 192.168.137.1 port 54014 id 0
Information,11/13/2021 6:17:56 PM,OpenSSH,4,None,sshd: Starting session: command for administrator from 192.168.137.1 port 54014 id 0
Information,11/13/2021 6:17:56 PM,OpenSSH,4,None,sshd: User child is on pid 704
Information,11/13/2021 6:17:56 PM,OpenSSH,4,None,sshd: Accepted password for administrator from 192.168.137.1 port 54014 ssh2
