Level,Date and Time,Source,Event ID,Task Category
Information,12/12/2021 5:23:01 AM,Microsoft-Windows-CAPI2,4097,None,"Successful auto update of third-party root certificate:: Subject: <CN=USERTrust RSA Certification Authority, O=The USERTRUST Network, L=Jersey City, S=New Jersey, C=US> Sha1 thumbprint: <2B8F1B57330DBBA2D07A6C51F70EE90DDAB9AD8E>."
Information,12/12/2021 5:22:55 AM,Windows Error Reporting,1001,None,"Fault bucket 1264707974604967206, type 5
Event Name: RADAR_PRE_LEAK_64
Response: Not available
Cab Id: 0

Problem signature:
P1: PRTG Server.exe
P2: 21.4.73.1656
P3: 10.0.20348.2.0.0
P4: 
P5: 
P6: 
P7: 
P8: 
P9: 
P10: 

Attached files:
\\?\C:\Users\ADMINI~1\AppData\Local\Temp\RDRE370.tmp\empty.txt
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.4a82f67c-c1dd-43a9-a180-9aa010e7650d.tmp.WERInternalMetadata.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.8ae82987-070e-4445-8393-7b1ad6b00cac.tmp.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.d4e5457e-e003-4928-bfbc-cddd40d38ace.tmp.csv
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.52b25a0a-40f9-4d56-bc69-80b665f431cf.tmp.txt

These files may be available here:


Analysis symbol: 
Rechecking for solution: 0
Report Id: 9c083d6e-da3e-4f85-970f-dceda3605046
Report Status: 268435456
Hashed bucket: 2703c55de4741b8ef18d2533c2eecd26
Cab Guid: 0"
Warning,12/12/2021 5:18:45 AM,Microsoft-Windows-Perflib,1008,None,"The Open procedure for service ""BITS"" in DLL ""C:\Windows\System32\bitsperf.dll"" failed with error code The system cannot find the file specified.. Performance data for this service will not be available."
Information,12/12/2021 5:16:15 AM,PRTG System,0,None,Startup: Starting Core Server: PRTG Network Monitor 21.4.73.1656 x64  ID: -1000
Information,12/12/2021 5:16:09 AM,PRTG System,0,None,Starting 21.4.73.1656
Information,12/12/2021 4:57:03 AM,Microsoft-Windows-CAPI2,4097,None,"Successful auto update of third-party root certificate:: Subject: <CN=GlobalSign, O=GlobalSign, OU=GlobalSign Root CA - R3> Sha1 thumbprint: <D69B561148F01C77C54578C10926DF5B856976AD>."
Information,12/12/2021 4:55:42 AM,Microsoft-Windows-Security-SPP,16384,None,Successfully scheduled Software Protection service for re-start at 2121-11-18T12:55:41Z. Reason: RulesEngine.
Information,12/12/2021 4:55:03 AM,Microsoft-Windows-Security-SPP,16394,None,Offline downlevel migration succeeded.
Information,12/12/2021 4:52:14 AM,edgeupdate,0,None,Service stopped.
Information,12/12/2021 4:48:29 AM,Microsoft-Windows-LoadPerf,1000,None,Performance counters for the WmiApRpl (WmiApRpl) service were loaded successfully. The Record Data in the data section contains the new index values assigned to this service.
